"日付け","終値","始値","高値","安値","出来高","前日比%"
"2016年09月21日","340.00","339.00","341.00","338.00","101.26K","-0.15%"
"2016年09月20日","340.50","336.00","342.25","335.00","127.94K","0.96%"
"2016年09月19日","337.25","337.25","340.00","332.25","139.74K","0.07%"
"2016年09月16日","337.00","329.00","338.25","327.50","165.29K","2.12%"
"2016年09月15日","330.00","331.50","334.75","327.50","131.02K","2.40%"
"2016年09月14日","322.25","320.50","320.50","317.50","0.04K","0.94%"
"2016年09月13日","319.25","329.25","330.00","320.25","0.71K","-3.04%"
"2016年09月12日","329.25","329.25","330.50","326.00","1.20K","-0.23%"
"2016年09月09日","330.00","326.50","330.50","323.75","0.78K","0.92%"
"2016年09月08日","327.00","322.00","326.75","321.50","1.48K","1.87%"
"2016年09月07日","321.00","316.25","322.00","315.00","2.57K","1.34%"
"2016年09月06日","316.75","316.00","317.75","312.25","2.46K","0.08%"
"2016年09月02日","316.50","311.00","317.75","311.00","3.41K","1.77%"
"2016年09月01日","311.00","302.00","311.50","301.75","11.50K","3.15%"
"2016年08月31日","301.50","304.00","307.25","301.00","25.26K","-0.82%"
"2016年08月30日","304.00","311.75","312.75","303.50","132.22K","-2.49%"
"2016年08月29日","311.75","316.25","318.75","310.75","128.34K","-1.42%"
"2016年08月26日","316.25","323.50","325.25","315.75","98.58K","-2.24%"
"2016年08月25日","323.50","327.00","328.50","322.25","94.42K","-1.22%"
"2016年08月24日","327.50","328.25","330.50","325.50","77.91K","-0.30%"
"2016年08月23日","328.50","333.00","333.00","326.50","90.24K","-1.43%"
"2016年08月22日","333.25","333.75","334.50","330.50","71.84K","-0.30%"
"2016年08月19日","334.25","332.25","334.75","330.00","85.60K","0.68%"
"2016年08月18日","332.00","330.00","333.00","326.50","72.27K","0.53%"
"2016年08月17日","330.25","327.25","330.75","327.00","103.66K","0.84%"
"2016年08月16日","327.50","326.75","329.00","324.25","78.80K","0.31%"
"2016年08月15日","326.50","321.25","329.00","321.00","75.70K","1.32%"
"2016年08月12日","322.25","320.50","323.00","312.00","146.08K","0.39%"
"2016年08月11日","321.00","322.25","323.75","320.50","125.76K","-0.47%"
"2016年08月10日","322.50","322.00","325.50","321.25","148.92K","0.08%"
"2016年08月09日","322.25","325.25","326.75","322.00","121.42K","-0.92%"
"2016年08月08日","325.25","324.25","328.00","322.50","148.92K","0.31%"
"2016年08月05日","324.25","320.50","325.00","320.00","139.53K","1.09%"
"2016年08月04日","320.75","325.00","326.75","320.50","83.08K","-1.31%"
"2016年08月03日","325.00","323.75","328.75","322.25","91.70K","0.23%"
"2016年08月02日","324.25","325.25","327.50","319.50","120.08K","-0.46%"
"2016年08月01日","325.75","332.50","333.75","325.50","83.57K","-2.62%"
"2016年07月29日","334.50","331.25","335.00","328.75","102.31K","0.98%"
"2016年07月28日","331.25","335.75","338.50","329.00","88.78K","-1.34%"
"2016年07月27日","335.75","332.50","338.00","331.75","81.05K","0.98%"
"2016年07月26日","332.50","333.50","336.50","331.00","95.06K","-0.67%"
"2016年07月25日","334.75","335.00","338.25","330.25","92.72K","-0.07%"
"2016年07月22日","335.00","334.50","336.75","326.75","101.55K","0.22%"
"2016年07月21日","334.25","337.75","341.75","332.75","92.50K","-0.96%"
"2016年07月20日","337.50","344.25","346.50","335.00","111.93K","-1.24%"
"2016年07月19日","341.75","356.50","356.50","341.50","88.39K","-4.27%"
"2016年07月18日","357.00","352.25","357.50","348.25","84.62K","1.35%"
"2016年07月15日","352.25","356.50","361.00","343.00","104.62K","-2.76%"
"2016年07月14日","362.25","369.50","374.50","360.00","0.23K","-0.96%"
"2016年07月13日","365.75","353.00","372.75","348.50","0.67K","4.57%"
"2016年07月12日","349.75","343.00","350.25","339.75","0.39K","1.75%"
"2016年07月11日","343.75","354.25","354.75","341.75","1.16K","-1.72%"
"2016年07月08日","349.75","337.25","349.00","336.75","1.16K","4.25%"
"2016年07月07日","335.50","338.50","348.00","334.50","2.55K","-0.07%"
"2016年07月06日","335.75","344.75","346.50","333.00","4.29K","-2.40%"
"2016年07月05日","344.00","348.00","350.50","333.75","4.79K","-2.55%"
"2016年07月01日","353.00","360.75","362.25","351.75","6.93K","-1.60%"
"2016年06月30日","358.75","375.00","377.50","355.75","37.49K","-3.76%"
"2016年06月29日","372.75","385.50","387.25","372.25","99.43K","-3.24%"
"2016年06月28日","385.25","383.00","398.25","382.50","121.38K","0.00%"
"2016年06月27日","385.25","384.25","392.00","383.00","123.57K","0.20%"
"2016年06月24日","384.50","387.50","390.00","373.50","180.56K","-0.71%"
"2016年06月23日","387.25","392.00","392.75","384.00","164.76K","-1.46%"
"2016年06月22日","393.00","396.50","401.00","392.25","211.88K","-0.82%"
"2016年06月21日","396.25","420.50","422.25","396.25","292.42K","-5.93%"
"2016年06月20日","421.25","435.50","435.75","420.50","204.94K","-3.77%"
"2016年06月17日","437.75","425.00","438.25","423.50","179.12K","2.94%"
"2016年06月16日","425.25","426.25","429.75","420.50","196.40K","-0.87%"
"2016年06月15日","429.00","435.75","439.00","428.50","186.44K","-1.72%"
"2016年06月14日","436.50","429.50","436.75","423.50","236.33K","1.51%"
"2016年06月13日","430.00","427.50","438.00","427.50","304.09K","1.65%"
"2016年06月10日","423.00","426.50","437.00","420.00","291.07K","-0.82%"
"2016年06月09日","426.50","430.25","430.25","423.25","262.53K","-1.10%"
"2016年06月08日","431.25","427.25","439.25","426.50","342.76K","0.82%"
"2016年06月07日","427.75","426.25","428.00","422.50","273.08K","0.12%"
"2016年06月06日","427.25","419.75","427.50","419.25","223.12K","2.15%"
"2016年06月03日","418.25","414.00","419.25","410.50","183.28K","0.72%"
"2016年06月02日","415.25","413.75","419.50","412.50","223.63K","0.36%"
"2016年06月01日","413.75","404.25","414.00","401.00","213.03K","2.22%"
"2016年05月31日","404.75","412.50","413.00","404.00","205.69K","-1.94%"
"2016年05月27日","412.75","408.00","413.50","406.50","174.31K","1.10%"
"2016年05月26日","408.25","404.00","409.25","400.00","223.71K","0.86%"
"2016年05月25日","404.75","396.50","405.00","395.75","170.81K","1.82%"
"2016年05月24日","397.50","397.25","403.25","394.50","160.51K","-0.06%"
"2016年05月23日","397.75","394.00","399.25","391.00","156.43K","0.82%"
"2016年05月20日","394.50","390.00","396.75","389.00","177.95K","1.15%"
"2016年05月19日","390.00","397.50","397.75","385.50","229.12K","-2.38%"
"2016年05月18日","399.50","397.00","400.50","394.00","184.09K","0.63%"
"2016年05月17日","397.00","392.50","398.00","391.75","193.69K","0.76%"
"2016年05月16日","394.00","390.25","394.25","386.25","161.78K","3.14%"
"2016年05月13日","382.00","380.25","385.50","380.25","0.29K","-0.84%"
"2016年05月12日","385.25","374.75","386.00","374.50","0.79K","3.01%"
