Date,Open,High,Low,Adj Close*
2013/7/12,14590,14610,14420,14525
2013/7/15,14480,14750,14435,14710
2013/7/16,14705,14735,14435,14515
2013/7/17,14520,14695,14455,14670
2013/7/18,14670,14990,14650,14965
2013/7/19,14930,14960,14405,14820
2013/7/22,14835,14925,14515,14675
2013/7/23,14685,14860,14540,14715
2013/7/24,14710,14810,14620,14735
2013/7/25,14735,14760,14290,14360
2013/7/26,14400,14440,13845,13945
2013/7/29,13935,13955,13505,13520
2013/7/30,13545,13925,13525,13720
2013/7/31,13730,13840,13510,13650
2013/8/1,13620,14245,13590,14180
2013/8/2,14200,14525,14155,14320
2013/8/5,14330,14370,14205,14250
2013/8/6,14210,14410,14025,14200
2013/8/7,14190,14205,13705,13720
2013/8/8,13760,14040,13390,13650
2013/8/9,13655,13760,13500,13550
2013/8/12,13535,13665,13410,13615
2013/8/13,13630,13985,13630,13960
2013/8/14,13980,14060,13740,13875
2013/8/15,13865,13985,13475,13510
2013/8/16,13535,13735,13515,13625
2013/8/19,13580,13795,13525,13580
2013/8/20,13545,13730,13320,13405
2013/8/21,13430,13500,13240,13305
2013/8/22,13280,13635,13220,13575
2013/8/23,13580,13775,13580,13735
2013/8/26,13720,13765,13525,13540
2013/8/27,13540,13675,13185,13200
2013/8/28,13215,13445,13175,13375
2013/8/29,13365,13630,13365,13525
2013/8/30,13545,13625,13250,13320
2013/9/3,13370,14015,13370,13885
2013/9/4,13870,14155,13835,14095
2013/9/5,14130,14180,13950,14100
2013/9/6,14090,14100,13690,13850
2013/9/9,14125,14375,14115,14325
2013/9/10,14330,14605,14290,14585
2013/9/11,14585,14585,14365,14465
2013/9/12,14475,14480,14195,14330
2013/9/13,14250,14380,14170,14365
2013/9/16,14375,14540,14370,14480
2013/9/17,14470,14485,14255,14400
2013/9/18,14400,14725,14345,14720
2013/9/19,14700,14875,14520,14830
2013/9/20,14835,14850,14625,14670
2013/9/23,14650,14735,14520,14585
2013/9/24,14590,14770,14540,14680
2013/9/25,14680,14705,14505,14570
2013/9/26,14560,14875,14425,14845
2013/9/27,14845,14880,14595,14630
2013/9/30,14585,14635,14345,14535
2013/10/1,14525,14670,14365,14470
2013/10/2,14510,14585,14030,14195
2013/10/3,14125,14230,13985,14080
2013/10/4,14080,14205,13945,14200
2013/10/7,14130,14130,13755,13775
2013/10/8,13755,13945,13740,13760
2013/10/9,13755,14155,13750,14090
2013/10/10,14090,14430,14080,14380
2013/10/11,14380,14545,14305,14535
2013/10/14,14415,14550,14280,14530
2013/10/15,14540,14560,14320,14385
2013/10/16,14385,14670,14340,14645
2013/10/17,14625,14680,14450,14620
2013/10/18,14595,14665,14505,14620
2013/10/21,14645,14750,14625,14720
2013/10/22,14705,14840,14650,14770
2013/10/23,14795,14795,14260,14315
2013/10/24,14350,14515,14280,14415
2013/10/25,14425,14460,14090,14205
2013/10/28,14230,14410,14195,14310
2013/10/29,14305,14495,14220,14485
2013/10/30,14500,14590,14435,14570
2013/10/31,14530,14530,14330,14445
2013/11/1,14435,14440,14125,14315
2013/11/4,14325,14345,14240,14330
2013/11/5,14320,14330,14130,14170
2013/11/6,14185,14420,14130,14405
2013/11/7,14405,14405,13890,14010
2013/11/8,14025,14295,13995,14260
2013/11/11,14285,14370,14220,14320
2013/11/12,14330,14615,14295,14605
2013/11/13,14600,14730,14500,14720
2013/11/14,14705,15095,14680,15065
2013/11/15,15070,15375,15005,15305
2013/11/18,15285,15345,15075,15170
2013/11/19,15170,15270,15020,15210
2013/11/20,15185,15255,15065,15160
2013/11/21,15150,15580,15145,15535
2013/11/22,15560,15595,15315,15530
2013/11/25,15530,15635,15475,15520
2013/11/26,15520,15590,15395,15410
2013/11/27,15415,15655,15380,15645
2013/11/29,15645,15745,15510,15685
2013/12/2,15710,15850,15585,15750
2013/12/3,15770,15805,15440,15555
2013/12/4,15555,15580,15205,15405
2013/12/5,15425,15435,15065,15085
2013/12/6,15065,15600,15060,15555
2013/12/9,15565,15720,15560,15690
2013/12/10,15705,15705,15455,15540
2013/12/11,15530,15565,15295,15320
2013/12/12,15320,15540,15235,15500
2013/12/13,15535,15555,15255,15475
2013/12/16,15450,15460,15155,15340
2013/12/17,15355,15355,15210,15260
2013/12/18,15245,15910,15245,15895
2013/12/19,15900,15910,15750,15785
2013/12/20,15815,15930,15735,15915
2013/12/23,15925,16075,15855,16045
2013/12/24,16045,16050,15860,15895
2013/12/26,16220,16250,16195,16240
2013/12/27,16250,16315,16060,16290
2013/12/30,16305,16340,16185,16285
2013/12/31,16285,16340,16225,16340
2014/1/2,16250,16260,15965,15995
2014/1/3,16035,16085,15855,16070
2014/1/6,16060,16145,15715,15805
2014/1/7,15800,15960,15750,15910
2014/1/8,15915,16135,15905,16015
2014/1/9,16010,16015,15810,15920
2014/1/10,15900,15980,15705,15835
2014/1/13,15840,15865,15430,15495
2014/1/14,15505,15735,15375,15685
2014/1/15,15690,15855,15635,15835
2014/1/16,15830,15940,15600,15650
2014/1/17,15645,15840,15620,15745
2014/1/21,15730,15900,15570,15815
2014/1/22,15790,15885,15625,15875
2014/1/23,15870,15965,15280,15390
2014/1/24,15400,15490,14930,14945
2014/1/27,14915,15105,14785,14985
2014/1/28,14940,15160,14930,15140
2014/1/29,15255,15380,14855,14975
2014/1/30,14990,15215,14845,15100
2014/1/31,15125,15160,14580,14610
2014/2/3,14645,14850,14130,14140
2014/2/4,14215,14340,13915,14275
2014/2/5,14265,14300,13980,14150
2014/2/6,14185,14475,14105,14430
2014/2/7,14425,14700,14300,14670
2014/2/10,14660,14740,14565,14635
2014/2/11,14635,14940,14580,14885
2014/2/12,14885,14890,14685,14780
2014/2/13,14780,14780,14315,14625
2014/2/14,14615,14670,14230,14440
2014/2/18,14400,14900,14185,14775
2014/2/19,14780,14805,14630,14645
2014/2/20,14690,14720,14365,14545
2014/2/21,14550,14900,14530,14790
2014/2/24,14800,15040,14645,14945
2014/2/25,14930,15090,14840,14910
2014/2/26,14925,15080,14870,14910
2014/2/27,14930,15015,14695,14920
2014/2/28,14935,15015,14735,14920
2014/3/3,14770,14795,14435,14510
2014/3/4,14535,14985,14525,14980
2014/3/5,14955,14990,14880,14890
2014/3/6,14905,15335,14865,15295
2014/3/7,15295,15430,15145,15315
2014/3/10,15275,15275,15080,15230
2014/3/11,15220,15270,14990,15025
2014/3/12,15055,15055,14685,14815
2014/3/13,14835,14930,14365,14440
2014/3/14,14410,14425,14045,14150
2014/3/17,14140,14450,14095,14420
2014/3/18,14430,14460,14190,14365
2014/3/19,14385,14585,14210,14500
2014/3/20,14485,14505,14110,14270
2014/3/21,14265,14390,14195,14195
2014/3/24,14220,14445,14185,14290
2014/3/25,14300,14440,14215,14355
2014/3/26,14370,14495,14285,14295
2014/3/27,14305,14680,14235,14555
2014/3/28,14595,14855,14535,14795
